sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0374_11_00,000029.png,0.9,1.0,25.454308172434366,0.6977888809065411,673.303900000974
GOPR0374_11_00,000030.png,0.9,1.0,25.840180391834004,0.7196834369922316,680.3909000009298
GOPR0374_11_00,000031.png,0.9,1.0,24.991093436838817,0.6708822251745916,682.5845000003028
GOPR0374_11_00,000032.png,0.9,1.0,25.87805437987248,0.7044338978661866,677.4977000004583
GOPR0374_11_00,000033.png,0.9,1.0,25.127283931234793,0.6636529517220074,685.95870000172
GOPR0374_11_00,000034.png,0.9,1.0,26.076096117930526,0.7190721740284619,683.6915999992925
GOPR0374_11_00,000035.png,0.9,1.0,26.003286241454127,0.7207890460580512,695.3434999995807
GOPR0374_11_00,000036.png,0.9,1.0,25.100551782419295,0.7216617392919119,710.273299999244
GOPR0374_11_00,000037.png,0.9,1.0,24.81980157523997,0.7119511852106389,733.5153000003629
GOPR0374_11_00,000038.png,0.9,1.0,25.38552351883642,0.6995758956860287,692.2480000012001
GOPR0374_11_00,000039.png,0.9,1.0,26.17766499079803,0.7396401310842768,675.8018999989872
